"pointID","scenario","year","mat","map","gsp","mtcm","mmin","mtwm","mmax","sday","ffp","dd5","gsdd5","d100","dd0","smrpb","smrsprpb","mukey","SP_PA","SP_IV","SA_PA","SA_IV","LL_PA","LL_IV","PD_PA","PD_IV","LP_PA","LP_IV","SI","SISP","r_SDI"
38,"GFDLCM21_A2",2090,20.3,1364,754,8.8,2.3,31.3,37.5,65,263,5621,5118,24,1,1.34,1.74,"811250",0.275,4.1952247280693,0.39,28.4580183227185,0.31,22.1965333462182,0.365,6.55051358417864,0.55,43.9677092585052,84.826,"PIPA2",0.844168807256671
38,"GFDLCM21_B1",1990,15.7,1199,648,4.5,-1.9,25.9,32.1,95,208,4047,3432,58,19,1.25,1.55,"811250",0.155,0.117052254662235,0.235,0.116847404220671,0.935,31.1119433581515,0.815,0.149406671844121,0.855,37.7270676848906,66.579,"PIPA2",1
38,"GFDLCM21_B1",2030,16.9,1316,714,6.6,0.2,27.4,33.6,87,226,4430,3825,41,4,1.23,1.58,"811250",0.22,1.34324985588833,0.33,2.35564297094211,0.76,5.7683079698968,0.79,1.01603784714774,0.86,48.8714694112846,75.5299666666667,"PIPA2",0.984600176656092
38,"GFDLCM21_B1",2060,17.4,1339,772,5.6,-0.7,27.7,33.7,86,233,4612,4025,46,7,1.4,1.88,"811250",0.195,3.21846798840827,0.26,5.26602638920855,0.46,16.4309153962666,0.515,11.0988559434403,0.68,44.3676799891246,72.5612,"PIPA2",0.903790047883006
38,"GFDLCM21_B1",2090,18.1,1382,775,5.4,-1.2,28,34.1,76,250,4858,4266,40,8,1.43,1.79,"811250",0.285,7.51047657112321,0.285,6.91837426216265,0.36,18.8663463943304,0.465,14.043540117073,0.645,39.5941299250031,75.0949952380952,"PIPA2",0.894424140195915
38,"HADCM3_A2",1990,15.7,1199,648,4.5,-1.9,25.9,32.1,95,208,4047,3432,58,19,1.25,1.55,"811250",0.155,0.117052254662235,0.235,0.116847404220671,0.935,31.1119433581515,0.815,0.149406671844121,0.855,37.7270676848906,66.579,"PIPA2",1
38,"HADCM3_A2",2030,17.4,1188,597,5.7,-0.7,28.4,35.1,86,229,4632,4087,44,6,1.12,1.37,"811250",0.345,6.93088143413784,0.275,0.567924551505698,0.195,3.64472668459932,0.18,0.0575002743865138,0.585,31.8854218267065,81.0544666666667,"PIPA2",0.844280893943373
38,"HADCM3_A2",2060,18.3,1295,682,5.5,-1,29.7,36.4,79,250,4956,4530,46,8,1.34,1.4,"811250",0.32,7.20698390016649,0.205,2.01005746208076,0.21,6.56007894224515,0.275,4.82020831978079,0.445,40.4929102848306,82.6319666666666,"PIPA2",0.767890506048986
38,"HADCM3_A2",2090,20.5,1375,770,7.1,0.5,32.3,39,63,265,5698,5301,34,1,1.6,2.1,"811250",0.345,9.83867666410403,0.38,18.1573851434728,0.305,23.5667582040562,0.37,15.8296435523141,0.435,40.5659416950744,78.5700333333334,"PIPA2",0.798154393167406
38,"HADCM3_B2",1990,15.7,1199,648,4.5,-1.9,25.9,32.1,95,208,4047,3432,58,19,1.25,1.55,"811250",0.155,0.117052254662235,0.235,0.116847404220671,0.935,31.1119433581515,0.815,0.149406671844121,0.855,37.7270676848906,66.579,"PIPA2",1
38,"HADCM3_B2",2030,17.2,1182,652,5,-1.4,28.3,34.4,87,230,4569,4043,47,15,1.16,1.43,"811250",0.37,2.95494560627409,0.18,1.30008747689523,0.2,5.47551549156107,0.325,0.326478649762931,0.435,28.9601720206791,78.8873333333334,"PIPA2",0.775377717754931
38,"HADCM3_B2",2060,17.8,1337,762,7.2,0.4,28.5,34.7,84,236,4732,4115,36,2,1.49,1.75,"811250",0.195,2.37707610017825,0.355,4.88528188715378,0.525,18.5063567818642,0.58,10.6189461299447,0.745,41.8948536758581,75.3122333333333,"PIPA2",0.937356911341413
38,"HADCM3_B2",2090,19,1321,729,5.6,-1.3,30,36.2,70,259,5191,4760,40,7,1.43,1.6,"811250",0.305,8.86517231422219,0.27,7.79993494732075,0.275,16.3209297517879,0.42,11.0408239264324,0.415,43.9378175043974,79.0619,"PIPA2",0.78025921541106
39,"CGCM3_A1B",1990,15.7,1199,648,4.5,-1.9,25.9,32.1,95,208,4047,3432,58,19,1.25,1.55,"811250",0.155,0.117052254662235,0.235,0.116847404220671,0.935,31.1119433581515,0.815,0.149406671844121,0.855,37.7270676848906,66.579,"PIPA2",1
39,"CGCM3_A1B",2030,16.9,1247,685,4.6,-1.5,27.3,32.9,87,233,4475,3934,54,14,1.24,1.59,"811250",0.255,3.32312873398607,0.26,3.71929535566939,0.46,13.6035358297972,0.565,1.7865865918422,0.63,43.4678942201864,77.3060333333333,"PIPA2",0.890085597919812
39,"CGCM3_A1B",2060,18.4,1214,630,6.3,0.2,28.5,34.6,74,247,4931,4402,38,4,1.23,1.6,"811250",0.36,6.0217311582506,0.305,3.05656743110801,0.26,10.1259856679976,0.38,3.52925174420574,0.715,44.1471381395663,82.6389666666666,"PIPA2",0.931829188963802
39,"CGCM3_A1B",2090,18.8,1303,683,5.8,-0.3,29.2,35.3,73,251,5096,4616,40,6,1.25,1.66,"811250",0.36,7.33009342271894,0.28,3.60180886518741,0.325,12.7112490941358,0.355,9.27562224136849,0.465,44.560634946105,82.4707,"PIPA2",0.806241302207296
